"
                新出独栋。大花园。只有我能卖。精装保养好。客厅挑空",6室3厅,794m²,共3层,2006年建造,"
                    北京壹号庄园(东方普罗旺斯四期)  
                    昌平-北七家-定泗路88号                ",4990万,62834元/m²
"
                御墅 纯独栋别墅 毛坯 南入户 大花园 真实价格 诚售",5室3厅,455m²,共2层,2012年建造,"
                    御墅  
                    顺义-裕龙-顺福路                ",1200万,26374元/m²
"
                1398凤凰亭南里  两居室  商品房   钥匙房 无户口",2室1厅,59m²,高层(共6层),1984年建造,"
                    凤凰南里  
                    房山-燕山-凤凰亭路                ",86万,14549元/m²
"
                北戴河海景房，孔雀城精装修，正规一居，免费班车",1室1厅,49m²,高层(共8层),2019年建造,"
                    北戴河孔雀城  
                    北京周边-秦皇岛-秦皇岛市北戴河新区滨海新大道与文博街交汇处西南                ",37万,7551元/m²
"
                首开香溪郡（开发商直签）一梯两户南北通透两居，来电享团购优惠",2室2厅,82m²,高层(共6层),2017年建造,"
                    首开香溪郡  
                    通州-北关-通顺路                ",308万,37561元/m²
"
                通州地铁现房，国企大盘，8层电梯花园洋房，三居首付150万起",3室2厅,117m²,中层(共8层),2018年建造,"
                    首开香溪郡  
                    通州-北关-通顺路                ",399万,34103元/m²
"
                孙河项目我都做，一站式看房）价格能聊！同看九章别墅恒大丽宫",5室3厅,428m²,共3层,2016年建造,"
                    中粮瑞府  
                    朝阳-孙河-香江北路                ",4000万,93458元/m²
"
                购房总成本4400万，有客户谈过，知道底价，四期99成新房",5室6厅,705m²,共3层,2014年建造,"
                    北京壹号庄园(东方普罗旺斯四期)  
                    昌平-北七家-定泗路88号                ",4999万,70853元/m²
"
                怡海花园六期位于人工湖旁小区中间  一梯一户 中式装修",3室2厅,209m²,高层(共29层),2006年建造,"
                    怡海花园恒泰园  
                    丰台-科技园区-南四环西路129号                ",1330万,63412元/m²
"
                （古城低总价三层）水泥厂中间两居室，无税好房",2室1厅,50m²,中层(共6层),1981年建造,"
                    古城街道燕山水泥厂社区  
                    石景山-古城-京原路68号                ",200万,39817元/m²
"
                （特价）丰台，青龙湖畔，中式合院，独门独院，赠花园加阁楼",4室2厅,280m²,共5层,2019年建造,"
                    翡翠西湖  
                    丰台-云岗-山湖路                ",950万,33929元/m²
"
                窦店金鑫苑南北通透，满五。看房方便，正规两居室。随时看房。",2室2厅,92m²,低层(共6层),2003年建造,"
                    金鑫苑小区  
                    房山-窦店-大窦路                ",170万,18478元/m²
"
                西三环，丽泽商务区，南北通透三居室，明厨明卫，直观公园",3室2厅,135m²,中层(共11层),2008年建造,"
                    益丰苑小区  
                    丰台-六里桥-西局北街26号                ",1185万,87778元/m²
"
                2年出一套的板楼三居 南北通透不临街 满五一套业主诚意卖",3室1厅,90m²,中层(共6层),1994年建造,"
                    花家地西里一区  
                    朝阳-花家地-望京西路                ",640万,70640元/m²
"
                万恒家园，南北通透大三居，独立餐厅，可改四居，中间楼层",3室2厅,133m²,中层(共6层),2005年建造,"
                    万恒家园  
                    丰台-青塔-小屯西路66号                ",715万,53578元/m²
